sku,store_view_code,attribute_set_code,product_type,categories,product_websites,name,description,short_description,weight,product_online,tax_class_name,visibility,price,special_price,special_price_from_date,special_price_to_date,url_key,meta_title,meta_keywords,meta_description,base_image,base_image_label,small_image,small_image_label,thumbnail_image,thumbnail_image_label,swatch_image,swatch_image_label,created_at,updated_at,new_from_date,new_to_date,display_product_options_in,map_price,msrp_price,map_enabled,gift_message_available,custom_design,custom_design_from,custom_design_to,custom_layout_update,page_layout,product_options_container,msrp_display_actual_price_type,country_of_manufacture,additional_attributes,qty,out_of_stock_qty,use_config_min_qty,is_qty_decimal,allow_backorders,use_config_backorders,min_cart_qty,use_config_min_sale_qty,max_cart_qty,use_config_max_sale_qty,is_in_stock,notify_on_stock_below,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,is_decimal_divided,website_id,related_skus,related_position,crosssell_skus,crosssell_position,upsell_skus,upsell_position,additional_images,additional_image_labels,hide_from_product_page,custom_options,bundle_price_type,bundle_sku_type,bundle_price_view,bundle_weight_type,bundle_values,bundle_shipment_type,associated_skus,downloadable_links,downloadable_samples,configurable_variations,configurable_variation_labels
"Bouquet 7",,Default,simple,"Default Category/Author's bouquets,Default Category/Compositions,Default Category/Festive bouquets",base,"Bouquet 7","<p>Lorem ipsum dolor sit amet, consectetur adipiscing elit. Donec non nibh orci. Curabitur eget est dolor. Morbi vestibulum, est eget scelerisque cursus, nulla augue interdum arcu, sit amet consequat risus velit ac ligula. Cras tincidunt finibus aliquam. Pellentesque blandit, nulla ut semper scelerisque, metus urna auctor est, placerat suscipit justo turpis vel quam. Cras nulla arcu, gravida a pulvinar eget, lobortis sit amet mauris. Interdum et malesuada fames ac ante ipsum primis in faucibus.</p>
<p>Aenean sed orci lorem. Vivamus laoreet lacus in urna ornare, non tincidunt nunc convallis. Suspendisse ullamcorper metus pellentesque lectus ultricies dapibus. Cras tincidunt sem vitae neque interdum vehicula. Cras ullamcorper molestie elit vel posuere. Cras tempus iaculis dolor, sit amet suscipit metus convallis ut. Donec arcu ligula, ultrices non ipsum ut, consequat luctus mauris.</p>","<p>Lorem ipsum dolor sit amet, consectetur adipiscing elit. Donec non nibh orci. Curabitur eget est dolor. Morbi vestibulum, est eget scelerisque cursus, nulla augue interdum arcu, sit amet consequat risus velit ac ligula.</p>",,1,0,"Catalog, Search",350.000000,,,,bouquet-7,"Bouquet 7","Bouquet 7","Bouquet 7 Lorem ipsum dolor sit amet, consectetur adipiscing elit. Donec non nibh orci. Curabitur eget est dolor. Morbi vestibulum, est eget scelerisque cursus, nulla augue interdum arcu, sit amet consequat risus velit ac ligula. Cras tincidunt finibus al",/i/n/instagram4.jpeg,,/i/n/instagram4.jpeg,,/i/n/instagram4.jpeg,,/i/n/instagram4.jpeg,,"7/19/21, 9:13 AM","7/20/21, 3:57 AM",,,"Block after Info Column",,,,"Use config",,,,,,,"Use config",,"bouquet_size=25 flowers,color=pink",10.0000,0.0000,1,0,0,1,1.0000,1,10000.0000,1,0,1.0000,1,1,1,1,1.0000,1,0,0,0,,,,,,,/i/n/instagram4.jpeg,,,,,,,,,,,,,,
"Bouquet 8",,Default,simple,"Default Category/Flowers in a box,Default Category/Author's bouquets,Default Category/Compositions",base,"Bouquet 8","<p>Lorem ipsum dolor sit amet, consectetur adipiscing elit. Donec non nibh orci. Curabitur eget est dolor. Morbi vestibulum, est eget scelerisque cursus, nulla augue interdum arcu, sit amet consequat risus velit ac ligula. Cras tincidunt finibus aliquam. Pellentesque blandit, nulla ut semper scelerisque, metus urna auctor est, placerat suscipit justo turpis vel quam. Cras nulla arcu, gravida a pulvinar eget, lobortis sit amet mauris. Interdum et malesuada fames ac ante ipsum primis in faucibus.</p>
<p>Aenean sed orci lorem. Vivamus laoreet lacus in urna ornare, non tincidunt nunc convallis. Suspendisse ullamcorper metus pellentesque lectus ultricies dapibus. Cras tincidunt sem vitae neque interdum vehicula. Cras ullamcorper molestie elit vel posuere. Cras tempus iaculis dolor, sit amet suscipit metus convallis ut. Donec arcu ligula, ultrices non ipsum ut, consequat luctus mauris.</p>","<p>Lorem ipsum dolor sit amet, consectetur adipiscing elit.</p>",0.000000,1,0,"Catalog, Search",350.000000,,,,bouquet-8,"Bouquet 7","Bouquet 7","Bouquet 7 Lorem ipsum dolor sit amet, consectetur adipiscing elit. Donec non nibh orci. Curabitur eget est dolor. Morbi vestibulum, est eget scelerisque cursus, nulla augue interdum arcu, sit amet consequat risus velit ac ligula. Cras tincidunt finibus al",/b/o/bouquet2.jpeg,,/b/o/bouquet2.jpeg,,/b/o/bouquet2.jpeg,,/b/o/bouquet2.jpeg,,"7/19/21, 9:15 AM","7/20/21, 3:58 AM",,,"Block after Info Column",,,,"Use config",,,,,,,"Use config",,"bouquet_size=25 flowers,color=pink",10.0000,0.0000,1,0,0,1,1.0000,1,10000.0000,1,1,1.0000,1,1,1,1,1.0000,1,0,0,0,,,,,,,/b/o/bouquet2.jpeg,,,,,,,,,,,,,,
"Bouquet 9",,Default,simple,"Default Category/Author's bouquets,Default Category/Compositions,Default Category/Festive bouquets",base,"Bouquet 9","<p>Lorem ipsum dolor sit amet, consectetur adipiscing elit. Donec non nibh orci. Curabitur eget est dolor. Morbi vestibulum, est eget scelerisque cursus, nulla augue interdum arcu, sit amet consequat risus velit ac ligula. Cras tincidunt finibus aliquam. Pellentesque blandit, nulla ut semper scelerisque, metus urna auctor est, placerat suscipit justo turpis vel quam. Cras nulla arcu, gravida a pulvinar eget, lobortis sit amet mauris. Interdum et malesuada fames ac ante ipsum primis in faucibus.</p>
<p>Aenean sed orci lorem. Vivamus laoreet lacus in urna ornare, non tincidunt nunc convallis. Suspendisse ullamcorper metus pellentesque lectus ultricies dapibus. Cras tincidunt sem vitae neque interdum vehicula. Cras ullamcorper molestie elit vel posuere. Cras tempus iaculis dolor, sit amet suscipit metus convallis ut. Donec arcu ligula, ultrices non ipsum ut, consequat luctus mauris.</p>","<p>Lorem ipsum dolor sit amet, consectetur adipiscing elit. Donec non nibh orci. Curabitur eget est dolor. Morbi vestibulum, est eget scelerisque cursus, nulla augue interdum arcu, sit amet consequat risus velit ac ligula.</p>",,1,0,"Catalog, Search",180.000000,,,,bouquet-9,"Bouquet 9","Bouquet 9","Bouquet 9 Lorem ipsum dolor sit amet, consectetur adipiscing elit. Donec non nibh orci. Curabitur eget est dolor. Morbi vestibulum, est eget scelerisque cursus, nulla augue interdum arcu, sit amet consequat risus velit ac ligula. Cras tincidunt finibus al",/b/o/bouquet.jpeg,,/b/o/bouquet.jpeg,,/b/o/bouquet.jpeg,,/b/o/bouquet.jpeg,,"7/19/21, 9:16 AM","7/20/21, 3:58 AM",,,"Block after Info Column",,,,"Use config",,,,,,,"Use config",,"bouquet_size=9 flowers,color=white",20.0000,0.0000,1,0,0,1,1.0000,1,10000.0000,1,1,1.0000,1,1,1,1,1.0000,1,0,0,0,,,,,,,/b/o/bouquet.jpeg,,,,,,,,,,,,,,
"Bouquet 10",,Default,simple,"Default Category/Author's bouquets,Default Category/Compositions,Default Category/Festive bouquets",base,"Bouquet 10","<p>Lorem ipsum dolor sit amet, consectetur adipiscing elit. Donec non nibh orci. Curabitur eget est dolor. Morbi vestibulum, est eget scelerisque cursus, nulla augue interdum arcu, sit amet consequat risus velit ac ligula. Cras tincidunt finibus aliquam. Pellentesque blandit, nulla ut semper scelerisque, metus urna auctor est, placerat suscipit justo turpis vel quam. Cras nulla arcu, gravida a pulvinar eget, lobortis sit amet mauris. Interdum et malesuada fames ac ante ipsum primis in faucibus.</p>
<p>Aenean sed orci lorem. Vivamus laoreet lacus in urna ornare, non tincidunt nunc convallis. Suspendisse ullamcorper metus pellentesque lectus ultricies dapibus. Cras tincidunt sem vitae neque interdum vehicula. Cras ullamcorper molestie elit vel posuere. Cras tempus iaculis dolor, sit amet suscipit metus convallis ut. Donec arcu ligula, ultrices non ipsum ut, consequat luctus mauris.</p>","<p>Lorem ipsum dolor sit amet, consectetur adipiscing elit. Donec non nibh orci. Curabitur eget est dolor.</p>",0.000000,1,0,"Catalog, Search",200.000000,,,,bouquet-10,"Bouquet 9","Bouquet 9","Bouquet 9 Lorem ipsum dolor sit amet, consectetur adipiscing elit. Donec non nibh orci. Curabitur eget est dolor. Morbi vestibulum, est eget scelerisque cursus, nulla augue interdum arcu, sit amet consequat risus velit ac ligula. Cras tincidunt finibus al",/b/o/bouquet3.jpeg,,/b/o/bouquet3.jpeg,,/b/o/bouquet3.jpeg,,/b/o/bouquet3.jpeg,,"7/19/21, 9:18 AM","7/20/21, 3:59 AM",,,"Block after Info Column",,,,"Use config",,,,,,,"Use config",,"bouquet_size=15 flowers,color=peach",5.0000,0.0000,1,0,0,1,1.0000,1,10000.0000,1,1,1.0000,1,1,1,1,1.0000,1,0,0,0,,,,,,,/b/o/bouquet3.jpeg,,,,,,,,,,,,,,
"Bouquet ""Chamomile""-small-9 flowers",,"Sized same flower bouquet",virtual,"Default Category/Compositions",base,"Bouquet ""Chamomile""","<p>Lorem ipsum dolor sit amet, consectetur adipiscing elit. Donec non nibh orci. Curabitur eget est dolor. Morbi vestibulum, est eget scelerisque cursus, nulla augue interdum arcu, sit amet consequat risus velit ac ligula. Cras tincidunt finibus aliquam. Pellentesque blandit, nulla ut semper scelerisque, metus urna auctor est, placerat suscipit justo turpis vel quam. Cras nulla arcu, gravida a pulvinar eget, lobortis sit amet mauris. Interdum et malesuada fames ac ante ipsum primis in faucibus.</p>
<p>Aenean sed orci lorem. Vivamus laoreet lacus in urna ornare, non tincidunt nunc convallis. Suspendisse ullamcorper metus pellentesque lectus ultricies dapibus. Cras tincidunt sem vitae neque interdum vehicula. Cras ullamcorper molestie elit vel posuere. Cras tempus iaculis dolor, sit amet suscipit metus convallis ut. Donec arcu ligula, ultrices non ipsum ut, consequat luctus mauris.</p>","<p>Lorem ipsum dolor sit amet, consectetur adipiscing elit. Donec non nibh orci.</p>",,1,"Taxable Goods","Not Visible Individually",270.000000,,,,bouquet-chamomile-small-9-flowers,"Bouquet ""Chamomile""","Bouquet ""Chamomile""","Bouquet ""Chamomile"" Lorem ipsum dolor sit amet, consectetur adipiscing elit. Donec non nibh orci. Curabitur eget est dolor. Morbi vestibulum, est eget scelerisque cursus, nulla augue interdum arcu, sit amet consequat risus velit ac ligula. Cras tincidunt ",/r/o/romashki_1_1.jpeg,,/r/o/romashki_1_1.jpeg,,/r/o/romashki_1_1.jpeg,,/r/o/romashki_1_1.jpeg,,"7/19/21, 9:36 AM","7/19/21, 9:55 AM",,,"Block after Info Column",,,,No,,,,,,,"Use config",,"bouquet_size=9 flowers,flower_size=small",15.0000,0.0000,1,0,0,1,1.0000,1,10000.0000,1,1,1.0000,1,1,1,1,1.0000,1,0,0,0,,,,,,,/r/o/romashki_1_1.jpeg,,,,,,,,,,,,,,
"Bouquet ""Chamomile""-small-15 flowers",,"Sized same flower bouquet",virtual,"Default Category/Compositions",base,"Bouquet ""Chamomile""","<p>Lorem ipsum dolor sit amet, consectetur adipiscing elit. Donec non nibh orci. Curabitur eget est dolor. Morbi vestibulum, est eget scelerisque cursus, nulla augue interdum arcu, sit amet consequat risus velit ac ligula. Cras tincidunt finibus aliquam. Pellentesque blandit, nulla ut semper scelerisque, metus urna auctor est, placerat suscipit justo turpis vel quam. Cras nulla arcu, gravida a pulvinar eget, lobortis sit amet mauris. Interdum et malesuada fames ac ante ipsum primis in faucibus.</p>
<p>Aenean sed orci lorem. Vivamus laoreet lacus in urna ornare, non tincidunt nunc convallis. Suspendisse ullamcorper metus pellentesque lectus ultricies dapibus. Cras tincidunt sem vitae neque interdum vehicula. Cras ullamcorper molestie elit vel posuere. Cras tempus iaculis dolor, sit amet suscipit metus convallis ut. Donec arcu ligula, ultrices non ipsum ut, consequat luctus mauris.</p>","<p>Lorem ipsum dolor sit amet, consectetur adipiscing elit. Donec non nibh orci.</p>",,1,0,"Not Visible Individually",450.000000,,,,bouquet-chamomile-small-15-flowers,"Bouquet ""Chamomile""","Bouquet ""Chamomile""","Bouquet ""Chamomile"" Lorem ipsum dolor sit amet, consectetur adipiscing elit. Donec non nibh orci. Curabitur eget est dolor. Morbi vestibulum, est eget scelerisque cursus, nulla augue interdum arcu, sit amet consequat risus velit ac ligula. Cras tincidunt ",/r/o/romashki_1_2.jpeg,,/r/o/romashki_1_2.jpeg,,/r/o/romashki_1_2.jpeg,,/r/o/romashki_1_2.jpeg,,"7/19/21, 9:36 AM","7/19/21, 9:52 AM",,,"Block after Info Column",,,,No,,,,,,,"Use config",,"bouquet_size=15 flowers,flower_size=small",20.0000,0.0000,1,0,0,1,1.0000,1,10000.0000,1,1,1.0000,1,1,1,1,1.0000,1,0,0,0,,,,,,,/r/o/romashki_1_2.jpeg,,,,,,,,,,,,,,
"Bouquet ""Chamomile""-small-25 flowers",,"Sized same flower bouquet",virtual,"Default Category/Compositions",base,"Bouquet ""Chamomile""","<p>Lorem ipsum dolor sit amet, consectetur adipiscing elit. Donec non nibh orci. Curabitur eget est dolor. Morbi vestibulum, est eget scelerisque cursus, nulla augue interdum arcu, sit amet consequat risus velit ac ligula. Cras tincidunt finibus aliquam. Pellentesque blandit, nulla ut semper scelerisque, metus urna auctor est, placerat suscipit justo turpis vel quam. Cras nulla arcu, gravida a pulvinar eget, lobortis sit amet mauris. Interdum et malesuada fames ac ante ipsum primis in faucibus.</p>
<p>Aenean sed orci lorem. Vivamus laoreet lacus in urna ornare, non tincidunt nunc convallis. Suspendisse ullamcorper metus pellentesque lectus ultricies dapibus. Cras tincidunt sem vitae neque interdum vehicula. Cras ullamcorper molestie elit vel posuere. Cras tempus iaculis dolor, sit amet suscipit metus convallis ut. Donec arcu ligula, ultrices non ipsum ut, consequat luctus mauris.</p>","<p>Lorem ipsum dolor sit amet, consectetur adipiscing elit. Donec non nibh orci.</p>",,1,"Taxable Goods","Not Visible Individually",750.000000,,,,bouquet-chamomile-small-25-flowers,"Bouquet ""Chamomile""","Bouquet ""Chamomile""","Bouquet ""Chamomile"" Lorem ipsum dolor sit amet, consectetur adipiscing elit. Donec non nibh orci. Curabitur eget est dolor. Morbi vestibulum, est eget scelerisque cursus, nulla augue interdum arcu, sit amet consequat risus velit ac ligula. Cras tincidunt ",/r/o/romashki_1_3.jpeg,,/r/o/romashki_1_3.jpeg,,/r/o/romashki_1_3.jpeg,,/r/o/romashki_1_3.jpeg,,"7/19/21, 9:36 AM","7/19/21, 9:51 AM",,,"Block after Info Column",,,,No,,,,,,,"Use config",,"bouquet_size=25 flowers,flower_size=small",9.0000,0.0000,1,0,0,1,1.0000,1,10000.0000,1,1,1.0000,1,1,1,1,1.0000,1,0,0,0,,,,,,,/r/o/romashki_1_3.jpeg,,,,,,,,,,,,,,
"Bouquet ""Chamomile""-big-9 flowers",,"Sized same flower bouquet",virtual,"Default Category/Compositions",base,"Bouquet ""Chamomile""","<p>Lorem ipsum dolor sit amet, consectetur adipiscing elit. Donec non nibh orci. Curabitur eget est dolor. Morbi vestibulum, est eget scelerisque cursus, nulla augue interdum arcu, sit amet consequat risus velit ac ligula. Cras tincidunt finibus aliquam. Pellentesque blandit, nulla ut semper scelerisque, metus urna auctor est, placerat suscipit justo turpis vel quam. Cras nulla arcu, gravida a pulvinar eget, lobortis sit amet mauris. Interdum et malesuada fames ac ante ipsum primis in faucibus.</p>
<p>Aenean sed orci lorem. Vivamus laoreet lacus in urna ornare, non tincidunt nunc convallis. Suspendisse ullamcorper metus pellentesque lectus ultricies dapibus. Cras tincidunt sem vitae neque interdum vehicula. Cras ullamcorper molestie elit vel posuere. Cras tempus iaculis dolor, sit amet suscipit metus convallis ut. Donec arcu ligula, ultrices non ipsum ut, consequat luctus mauris.</p>","<p>Lorem ipsum dolor sit amet, consectetur adipiscing elit. Donec non nibh orci.</p>",,1,"Taxable Goods","Not Visible Individually",270.000000,,,,bouquet-chamomile-big-9-flowers,"Bouquet ""Chamomile""","Bouquet ""Chamomile""","Bouquet ""Chamomile"" Lorem ipsum dolor sit amet, consectetur adipiscing elit. Donec non nibh orci. Curabitur eget est dolor. Morbi vestibulum, est eget scelerisque cursus, nulla augue interdum arcu, sit amet consequat risus velit ac ligula. Cras tincidunt ",/b/o/bog_romashki_1_1.jpeg,,/b/o/bog_romashki_1_1.jpeg,,/b/o/bog_romashki_1_1.jpeg,,/b/o/bog_romashki_1_1.jpeg,,"7/19/21, 9:36 AM","7/19/21, 9:43 AM",,,"Block after Info Column",,,,No,,,,,,,"Use config",,"bouquet_size=9 flowers,flower_size=big",25.0000,0.0000,1,0,0,1,1.0000,1,10000.0000,1,1,1.0000,1,1,1,1,1.0000,1,0,0,0,,,,,,,/b/o/bog_romashki_1_1.jpeg,,,,,,,,,,,,,,
"Bouquet ""Chamomile""-big-15 flowers",,"Sized same flower bouquet",virtual,"Default Category/Compositions",base,"Bouquet ""Chamomile""","<p>Lorem ipsum dolor sit amet, consectetur adipiscing elit. Donec non nibh orci. Curabitur eget est dolor. Morbi vestibulum, est eget scelerisque cursus, nulla augue interdum arcu, sit amet consequat risus velit ac ligula. Cras tincidunt finibus aliquam. Pellentesque blandit, nulla ut semper scelerisque, metus urna auctor est, placerat suscipit justo turpis vel quam. Cras nulla arcu, gravida a pulvinar eget, lobortis sit amet mauris. Interdum et malesuada fames ac ante ipsum primis in faucibus.</p>
<p>Aenean sed orci lorem. Vivamus laoreet lacus in urna ornare, non tincidunt nunc convallis. Suspendisse ullamcorper metus pellentesque lectus ultricies dapibus. Cras tincidunt sem vitae neque interdum vehicula. Cras ullamcorper molestie elit vel posuere. Cras tempus iaculis dolor, sit amet suscipit metus convallis ut. Donec arcu ligula, ultrices non ipsum ut, consequat luctus mauris.</p>","<p>Lorem ipsum dolor sit amet, consectetur adipiscing elit. Donec non nibh orci.</p>",,1,0,"Not Visible Individually",450.000000,,,,bouquet-chamomile-big-15-flowers,"Bouquet ""Chamomile""","Bouquet ""Chamomile""","Bouquet ""Chamomile"" Lorem ipsum dolor sit amet, consectetur adipiscing elit. Donec non nibh orci. Curabitur eget est dolor. Morbi vestibulum, est eget scelerisque cursus, nulla augue interdum arcu, sit amet consequat risus velit ac ligula. Cras tincidunt ",/b/o/bog_romashki_1_2.jpeg,,/b/o/bog_romashki_1_2.jpeg,,/b/o/bog_romashki_1_2.jpeg,,/b/o/bog_romashki_1_2.jpeg,,"7/19/21, 9:36 AM","7/19/21, 9:50 AM",,,"Block after Info Column",,,,No,,,,,,,"Use config",,"bouquet_size=15 flowers,flower_size=big",20.0000,0.0000,1,0,0,1,1.0000,1,10000.0000,1,1,1.0000,1,1,1,1,1.0000,1,0,0,0,,,,,,,/b/o/bog_romashki_1_2.jpeg,,,,,,,,,,,,,,
"Bouquet ""Chamomile""-big-25 flowers",,"Sized same flower bouquet",virtual,"Default Category/Compositions",base,"Bouquet ""Chamomile""","<p>Lorem ipsum dolor sit amet, consectetur adipiscing elit. Donec non nibh orci. Curabitur eget est dolor. Morbi vestibulum, est eget scelerisque cursus, nulla augue interdum arcu, sit amet consequat risus velit ac ligula. Cras tincidunt finibus aliquam. Pellentesque blandit, nulla ut semper scelerisque, metus urna auctor est, placerat suscipit justo turpis vel quam. Cras nulla arcu, gravida a pulvinar eget, lobortis sit amet mauris. Interdum et malesuada fames ac ante ipsum primis in faucibus.</p>
<p>Aenean sed orci lorem. Vivamus laoreet lacus in urna ornare, non tincidunt nunc convallis. Suspendisse ullamcorper metus pellentesque lectus ultricies dapibus. Cras tincidunt sem vitae neque interdum vehicula. Cras ullamcorper molestie elit vel posuere. Cras tempus iaculis dolor, sit amet suscipit metus convallis ut. Donec arcu ligula, ultrices non ipsum ut, consequat luctus mauris.</p>","<p>Lorem ipsum dolor sit amet, consectetur adipiscing elit. Donec non nibh orci.</p>",,1,0,"Not Visible Individually",750.000000,,,,bouquet-chamomile-big-25-flowers,"Bouquet ""Chamomile""","Bouquet ""Chamomile""","Bouquet ""Chamomile"" Lorem ipsum dolor sit amet, consectetur adipiscing elit. Donec non nibh orci. Curabitur eget est dolor. Morbi vestibulum, est eget scelerisque cursus, nulla augue interdum arcu, sit amet consequat risus velit ac ligula. Cras tincidunt ",/b/o/bog_romashki_1_3.jpeg,,/b/o/bog_romashki_1_3.jpeg,,/b/o/bog_romashki_1_3.jpeg,,/b/o/bog_romashki_1_3.jpeg,,"7/19/21, 9:36 AM","7/19/21, 9:49 AM",,,"Block after Info Column",,,,No,,,,,,,"Use config",,"bouquet_size=25 flowers,flower_size=big",25.0000,0.0000,1,0,0,1,1.0000,1,10000.0000,1,1,1.0000,1,1,1,1,1.0000,1,0,0,0,,,,,,,/b/o/bog_romashki_1_3.jpeg,,,,,,,,,,,,,,
"Bouquet ""Chamomile""",,"Sized same flower bouquet",configurable,"Default Category/Compositions",base,"Bouquet ""Chamomile""","<p>Lorem ipsum dolor sit amet, consectetur adipiscing elit. Donec non nibh orci. Curabitur eget est dolor. Morbi vestibulum, est eget scelerisque cursus, nulla augue interdum arcu, sit amet consequat risus velit ac ligula. Cras tincidunt finibus aliquam. Pellentesque blandit, nulla ut semper scelerisque, metus urna auctor est, placerat suscipit justo turpis vel quam. Cras nulla arcu, gravida a pulvinar eget, lobortis sit amet mauris. Interdum et malesuada fames ac ante ipsum primis in faucibus.</p>
<p>Aenean sed orci lorem. Vivamus laoreet lacus in urna ornare, non tincidunt nunc convallis. Suspendisse ullamcorper metus pellentesque lectus ultricies dapibus. Cras tincidunt sem vitae neque interdum vehicula. Cras ullamcorper molestie elit vel posuere. Cras tempus iaculis dolor, sit amet suscipit metus convallis ut. Donec arcu ligula, ultrices non ipsum ut, consequat luctus mauris.</p>","<p>Lorem ipsum dolor sit amet, consectetur adipiscing elit. Donec non nibh orci.</p>",,1,"Taxable Goods","Catalog, Search",,,,,bouquet-chamomile,"Bouquet ""Chamomile""","Bouquet ""Chamomile""","Bouquet ""Chamomile"" Lorem ipsum dolor sit amet, consectetur adipiscing elit. Donec non nibh orci. Curabitur eget est dolor. Morbi vestibulum, est eget scelerisque cursus, nulla augue interdum arcu, sit amet consequat risus velit ac ligula. Cras tincidunt ",/r/o/romashki.jpeg,,/r/o/romashki.jpeg,,/r/o/romashki.jpeg,,/r/o/romashki.jpeg,,"7/19/21, 9:36 AM","7/19/21, 9:36 AM",,,"Block after Info Column",,,,"Use config",,,,,,,"Use config",,,0.0000,0.0000,1,0,0,1,1.0000,1,10000.0000,1,1,1.0000,1,1,1,1,1.0000,1,0,0,0,,,,,,,"/r/o/romashki.jpeg,/b/o/bog_romashki.jpeg",",",,,,,,,,,,,,"sku=Bouquet ""Chamomile""-small-15 flowers,flower_size=small,bouquet_size=15 flowers|sku=Bouquet ""Chamomile""-small-9 flowers,flower_size=small,bouquet_size=9 flowers|sku=Bouquet ""Chamomile""-small-25 flowers,flower_size=small,bouquet_size=25 flowers|sku=Bouquet ""Chamomile""-big-25 flowers,flower_size=big,bouquet_size=25 flowers|sku=Bouquet ""Chamomile""-big-15 flowers,flower_size=big,bouquet_size=15 flowers|sku=Bouquet ""Chamomile""-big-9 flowers,flower_size=big,bouquet_size=9 flowers","flower_size=Flower size,bouquet_size=Bouquet size"
"Bouquet ""Tulip""-red-9 flowers",,"One flower bouquets",virtual,"Default Category/Compositions",base,"Bouquet ""Red Tulip""","<p>Lorem ipsum dolor sit amet, consectetur adipiscing elit. Donec non nibh orci. Curabitur eget est dolor. Morbi vestibulum, est eget scelerisque cursus, nulla augue interdum arcu, sit amet consequat risus velit ac ligula. Cras tincidunt finibus aliquam. Pellentesque blandit, nulla ut semper scelerisque, metus urna auctor est, placerat suscipit justo turpis vel quam. Cras nulla arcu, gravida a pulvinar eget, lobortis sit amet mauris. Interdum et malesuada fames ac ante ipsum primis in faucibus.</p>
<p>Aenean sed orci lorem. Vivamus laoreet lacus in urna ornare, non tincidunt nunc convallis. Suspendisse ullamcorper metus pellentesque lectus ultricies dapibus. Cras tincidunt sem vitae neque interdum vehicula. Cras ullamcorper molestie elit vel posuere. Cras tempus iaculis dolor, sit amet suscipit metus convallis ut. Donec arcu ligula, ultrices non ipsum ut, consequat luctus mauris.</p>","<p>Lorem ipsum dolor sit amet, consectetur adipiscing elit. Donec non nibh orci. Curabitur eget est dolor.</p>",,1,0,"Not Visible Individually",180.000000,,,,bouquet-red-tulip,"Bouquet ""Tulip""","Bouquet ""Tulip""","Bouquet ""Tulip"" Lorem ipsum dolor sit amet, consectetur adipiscing elit. Donec non nibh orci. Curabitur eget est dolor. Morbi vestibulum, est eget scelerisque cursus, nulla augue interdum arcu, sit amet consequat risus velit ac ligula. Cras tincidunt fini",/r/e/red_tulip_1_1.png,,/r/e/red_tulip_1_1.png,,/r/e/red_tulip_1_1.png,,/r/e/red_tulip_1_1.png,,"7/19/21, 10:06 AM","7/19/21, 10:06 AM",,,"Block after Info Column",,,,No,,,,,,,,,"bouquet_size=9 flowers,color=red",10.0000,0.0000,1,0,0,1,1.0000,1,10000.0000,1,1,1.0000,1,1,1,1,1.0000,1,0,0,0,,,,,,,/r/e/red_tulip_1_1.png,,,,,,,,,,,,,,
"Bouquet ""Tulip""-red-15 flowers",,"One flower bouquets",virtual,"Default Category/Compositions",base,"Bouquet ""Red Tulip""","<p>Lorem ipsum dolor sit amet, consectetur adipiscing elit. Donec non nibh orci. Curabitur eget est dolor. Morbi vestibulum, est eget scelerisque cursus, nulla augue interdum arcu, sit amet consequat risus velit ac ligula. Cras tincidunt finibus aliquam. Pellentesque blandit, nulla ut semper scelerisque, metus urna auctor est, placerat suscipit justo turpis vel quam. Cras nulla arcu, gravida a pulvinar eget, lobortis sit amet mauris. Interdum et malesuada fames ac ante ipsum primis in faucibus.</p>
<p>Aenean sed orci lorem. Vivamus laoreet lacus in urna ornare, non tincidunt nunc convallis. Suspendisse ullamcorper metus pellentesque lectus ultricies dapibus. Cras tincidunt sem vitae neque interdum vehicula. Cras ullamcorper molestie elit vel posuere. Cras tempus iaculis dolor, sit amet suscipit metus convallis ut. Donec arcu ligula, ultrices non ipsum ut, consequat luctus mauris.</p>","<p>Lorem ipsum dolor sit amet, consectetur adipiscing elit. Donec non nibh orci. Curabitur eget est dolor.</p>",,1,0,"Not Visible Individually",300.000000,,,,bouquet-red-tulip,"Bouquet ""Tulip""","Bouquet ""Tulip""","Bouquet ""Tulip"" Lorem ipsum dolor sit amet, consectetur adipiscing elit. Donec non nibh orci. Curabitur eget est dolor. Morbi vestibulum, est eget scelerisque cursus, nulla augue interdum arcu, sit amet consequat risus velit ac ligula. Cras tincidunt fini",/r/e/red_tulip_1_2.png,,/r/e/red_tulip_1_2.png,,/r/e/red_tulip_1_2.png,,/r/e/red_tulip_1_2.png,,"7/19/21, 10:06 AM","7/19/21, 10:06 AM",,,"Block after Info Column",,,,No,,,,,,,,,"bouquet_size=15 flowers,color=red",10.0000,0.0000,1,0,0,1,1.0000,1,10000.0000,1,1,1.0000,1,1,1,1,1.0000,1,0,0,0,,,,,,,/r/e/red_tulip_1_2.png,,,,,,,,,,,,,,
